"SQLエディタ","SQLスクリプトの名前を変更する","⌃F2","SQLスクリプトエディタコンテキスト","org.jkiss.dbeaver.ui.editors.sql.rename"
"データベースナビゲータ","エディタとのリンク","⌃⇧,","ウィンドウ","org.jkiss.dbeaver.core.navigator.linkeditor"
"ウィンドウ","クイック・スイッチ・エディター","⌘E","ウィンドウ","org.eclipse.ui.window.openEditorDropDown"
"テキスト編集","ツールチップ記述の表示","F2","テキストの編集","org.eclipse.ui.edit.text.showInformation"
"ファイル","保存","⌘S","ウィンドウ","org.eclipse.ui.file.save"
"テキスト編集","ズームイン","⌘=","テキストの編集","org.eclipse.ui.edit.text.zoomIn"
"ファイル","印刷","⌘P","ウィンドウ","org.eclipse.ui.file.print"
"テキスト編集","前の単語","⌥←","テキストの編集","org.eclipse.ui.edit.text.goto.wordPrevious"
"ファイル","すべて閉じる","⇧⌘W","ウィンドウ","org.eclipse.ui.file.closeAll"
"編集","クイック・フィックス","⌃1","SQLエディタコンテキスト","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"ウィンドウ","エディターの切り替え","⇧⌘E","ウィンドウ","org.eclipse.ui.window.switchToEditor"
"接続","ダッシュボードを開く","⌃⌥⇧B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"ナビゲート","指定行へジャンプ","⌘L","テキストの編集","org.eclipse.ui.edit.text.goto.line"
"編集","前を検索","⇧⌘K","ウィンドウ","org.eclipse.ui.edit.findPrevious"
"クイック検索","クイック検索","⌥⇧⌘L","ウィンドウ","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"編集","切り取り","⌘X","ダイアログまたはウィンドウ","org.eclipse.ui.edit.cut"
"データベースナビゲータ","Edit task","↩","ウィンドウ","org.jkiss.dbeaver.task.edit"
"ウィンドウ","コントリビューションプラグインを表示する","⌥⇧F3","ダイアログまたはウィンドウ","org.eclipse.ui.window.spy"
"View","Zoom In","⌘=","ウィンドウ","org.eclipse.gef3.zoom_in"
"Oracle","Compile","⌃F9","ウィンドウ","org.jkiss.dbeaver.ext.oracle.code.compile"
"ナビゲート","前の下位タブ","⌘[","ダイアログまたはウィンドウ","org.eclipse.ui.navigate.previousSubTab"
"編集","クイック・フィックス","⌘1","ダイアログまたはウィンドウ","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"結果セット","結果パネルを切り替える","⌃7","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"編集","次を検索","⌘K","ウィンドウ","org.eclipse.ui.edit.findNext"
"ファイル","名前を変更","F2","ウィンドウ","org.eclipse.ui.edit.rename"
"テキスト編集","すべてを折りたたむ","⇧⌘÷","テキストの編集","org.eclipse.ui.edit.text.folding.collapse_all"
"テキスト編集","行の末尾を選択","⇧⌘→","テキストの編集","org.eclipse.ui.edit.text.select.lineEnd"
"接続","SQLエディタ","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"テキスト編集","行を上へ移動","⌃⇧↑","SQLエディタコンテキスト","org.eclipse.ui.edit.text.moveLineUp"
"SQLエディタ","結果パネルの切り替え","⌃6","SQLスクリプトエディタコンテキスト","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"結果セット","前の行","⌃⌥←","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.row.previous"
"ビュー","ビューの表示 (アウトライン)","⌥⌘Q O","ウィンドウ","org.eclipse.ui.views.showView"
"ファイル","新規","⌘N","ウィンドウ","org.eclipse.ui.newWizard"
"テキスト編集","テキストの先頭まで選択","⇧↖","テキストの編集","org.eclipse.ui.edit.text.select.textStart"
"SQLエディタ","行数の選択","⌃⌥⇧C","SQLスクリプトエディタコンテキスト","org.jkiss.dbeaver.ui.editors.sql.run.count"
"ウィンドウ","キー・アシストを表示","⇧⌘L","ダイアログまたはウィンドウ","org.eclipse.ui.window.showKeyAssist"
